,Player,Age,Pos,Ht,Wt,Birth Date,Birth,Exp,PlayerLabel,Salary,Salary_number,Team
0,Dyson Daniels,22.0,G,6-8,199.0,"March 17, 2003",AU,3,"Dyson
Daniels","$7,707,709",7.707709,ATL
1,Jalen Johnson,23.0,F,6-9,220.0,"December 18, 2001",US,4,"Jalen
Johnson","$30,000,000",30.0,ATL
2,Kobe Bufkin,21.0,G,6-4,195.0,"September 21, 2003",US,2,"Kobe
Bufkin","$4,503,720",4.50372,ATL
3,Kristaps Porziņģis,30.0,F-C,7-2,240.0,"August 2, 1995",LV,9,"Kristaps
Porziņģis","$30,731,707",30.731707,ATL
4,Mouhamed Gueye,22.0,F,6-11,210.0,"November 9, 2002",SN,2,"Mouhamed
Gueye","$2,221,677",2.221677,ATL
5,Onyeka Okongwu,24.0,F,6-8,235.0,"December 11, 2000",US,5,"Onyeka
Okongwu","$15,000,000",15.0,ATL
6,Trae Young,26.0,G,6-1,164.0,"September 19, 1998",US,7,"Trae
Young","$45,999,660",45.99966,ATL
7,Vit Krejci,25.0,G,6-8,195.0,"June 19, 2000",CZ,4,"Vit
Krejci","$2,349,578",2.349578,ATL
8,Zaccharie Risacher,20.0,F,6-8,200.0,"April 8, 2005",ES,1,"Zaccharie
Risacher","$13,197,720",13.19772,ATL
0,Anfernee Simons,26.0,G,6-3,181.0,"June 8, 1999",US,7,"Anfernee
Simons","$27,678,571",27.678571,BOS
1,Baylor Scheierman,24.0,G,6-6,205.0,"September 26, 2000",US,1,"Baylor
Scheierman","$2,619,000",2.619,BOS
2,Derrick White,31.0,G,6-4,190.0,"July 2, 1994",US,8,"Derrick
White","$28,100,000",28.1,BOS
3,Jaylen Brown,28.0,F-G,6-6,223.0,"October 24, 1996",US,9,"Jaylen
Brown","$53,142,264",53.142264,BOS
4,Jayson Tatum,27.0,F,6-8,210.0,"March 3, 1998",US,8,"Jayson
Tatum","$54,126,450",54.12645,BOS
5,Jordan Walsh,21.0,G-F,6-7,205.0,"March 3, 2004",US,2,"Jordan
Walsh","$2,221,677",2.221677,BOS
6,Neemias Queta,26.0,C,7-0,245.0,"July 13, 1999",PT,4,"Neemias
Queta","$2,349,578",2.349578,BOS
7,Payton Pritchard,27.0,G,6-1,195.0,"January 28, 1998",US,5,"Payton
Pritchard","$7,232,143",7.232143,BOS
8,Sam Hauser,27.0,F,6-8,215.0,"December 8, 1997",US,4,"Sam
Hauser","$10,044,644",10.044644,BOS
9,Xavier Tillman Sr.,26.0,F,6-8,245.0,"January 12, 1999",US,5,"Xavier
Tillman Sr.","$2,546,675",2.546675,BOS
0,Dariq Whitehead,21.0,F,6-7,220.0,"August 1, 2004",US,2,"Dariq
Whitehead","$3,262,560",3.26256,BRK
1,Drew Timme,24.0,F,6-10,235.0,"September 9, 2000",US,1,"Drew
Timme","$1,955,377",1.955377,BRK
2,Haywood Highsmith,28.0,F,6-7,220.0,"December 9, 1996",US,5,"Haywood
Highsmith","$5,616,000",5.616,BRK
3,Jalen Wilson,24.0,F,6-8,225.0,"November 4, 2000",US,2,"Jalen
Wilson","$2,221,677",2.221677,BRK
4,Keon Johnson,23.0,G,6-5,186.0,"March 10, 2002",US,4,"Keon
Johnson","$2,349,578",2.349578,BRK
5,Michael Porter Jr.,27.0,F,6-10,218.0,"June 29, 1998",US,6,"Michael
Porter Jr.","$38,333,050",38.33305,BRK
6,Nic Claxton,26.0,C,6-11,215.0,"April 17, 1999",US,6,"Nic
Claxton","$25,352,272",25.352272,BRK
7,Noah Clowney,21.0,F,6-10,210.0,"July 14, 2004",US,2,"Noah
Clowney","$3,398,640",3.39864,BRK
8,Terance Mann,28.0,G-F,6-5,215.0,"October 18, 1996",US,6,"Terance
Mann","$15,500,000",15.5,BRK
9,Tyrese Martin,26.0,G,6-6,215.0,"March 7, 1999",US,2,"Tyrese
Martin","$2,191,897",2.191897,BRK
0,Brandon Miller,22.0,F-G,6-9,201.0,"November 22, 2002",US,2,"Brandon
Miller","$11,968,800",11.9688,CHO
1,DaQuan Jeffries,28.0,G-F,6-5,230.0,"August 30, 1997",US,6,"DaQuan
Jeffries","$2,743,776",2.743776,CHO
2,Grant Williams,26.0,F,6-6,236.0,"November 30, 1998",US,6,"Grant
Williams","$13,645,500",13.6455,CHO
3,Josh Green,24.0,G-F,6-5,200.0,"November 16, 2000",AU,5,"Josh
Green","$13,666,667",13.666667,CHO
4,Jusuf Nurkić,31.0,C,7-0,290.0,"August 23, 1994",BA,11,"Jusuf
Nurkić","$19,375,000",19.375,CHO
5,LaMelo Ball,24.0,G,6-7,180.0,"August 22, 2001",US,5,"LaMelo
Ball","$37,958,760",37.95876,CHO
6,Miles Bridges,27.0,G-F,6-7,225.0,"March 21, 1998",US,6,"Miles
Bridges","$25,000,000",25.0,CHO
7,Moussa Diabaté,23.0,F,6-11,210.0,"January 21, 2002",FR,3,"Moussa
Diabaté","$2,270,735",2.270735,CHO
8,Nick Smith Jr.,21.0,G,6-2,185.0,"April 18, 2004",US,2,"Nick
Smith Jr.","$2,710,680",2.71068,CHO
9,Pat Connaughton,32.0,G,6-5,209.0,"January 6, 1993",US,10,"Pat
Connaughton","$9,423,869",9.423869,CHO
10,Tidjane Salaün,20.0,F,6-9,207.0,"August 10, 2005",FR,1,"Tidjane
Salaün","$7,863,240",7.86324,CHO
0,Ayo Dosunmu,25.0,G,6-5,200.0,"January 17, 2000",US,4,"Ayo
Dosunmu","$7,518,518",7.518518,CHI
1,Coby White,25.0,G,6-5,195.0,"February 16, 2000",US,6,"Coby
White","$12,888,889",12.888889,CHI
2,Dalen Terry,23.0,G,6-7,195.0,"July 12, 2002",US,3,"Dalen
Terry","$5,399,118",5.399118,CHI
3,Isaac Okoro,24.0,G-F,6-5,225.0,"January 26, 2001",US,5,"Isaac
Okoro","$11,000,000",11.0,CHI
4,Jalen Smith,25.0,F,6-10,215.0,"March 16, 2000",US,5,"Jalen
Smith","$9,000,000",9.0,CHI
5,Jevon Carter,29.0,G,6-1,200.0,"September 14, 1995",US,7,"Jevon
Carter","$6,809,524",6.809524,CHI
6,Julian Phillips,21.0,F,6-8,198.0,"November 5, 2003",US,2,"Julian
Phillips","$2,221,677",2.221677,CHI
7,Kevin Huerter,27.0,G,6-7,190.0,"August 27, 1998",US,7,"Kevin
Huerter","$17,991,071",17.991071,CHI
8,Matas Buzelis,20.0,F,6-10,209.0,"October 13, 2004",US,1,"Matas
Buzelis","$5,455,560",5.45556,CHI
9,Nikola Vučević,34.0,C,6-10,260.0,"October 24, 1990",CH,14,"Nikola
Vučević","$21,481,481",21.481481,CHI
10,Patrick Williams,24.0,F,6-7,215.0,"August 26, 2001",US,5,"Patrick
Williams","$18,000,000",18.0,CHI
11,Zach Collins,27.0,C-F,6-11,250.0,"November 19, 1997",US,7,"Zach
Collins","$18,080,496",18.080496,CHI
0,Chuma Okeke,27.0,F,6-6,229.0,"August 18, 1998",US,5,"Chuma
Okeke","$2,546,675",2.546675,CLE
1,Craig Porter Jr.,25.0,G,6-2,186.0,"February 26, 2000",US,2,"Craig
Porter Jr.","$2,221,677",2.221677,CLE
2,Darius Garland,25.0,G,6-1,192.0,"January 26, 2000",US,6,"Darius
Garland","$39,446,090",39.44609,CLE
3,De'Andre Hunter,27.0,F,6-8,225.0,"December 2, 1997",US,6,"De'Andre
Hunter","$23,303,571",23.303571,CLE
4,Dean Wade,28.0,F,6-9,228.0,"November 20, 1996",US,6,"Dean
Wade","$6,623,456",6.623456,CLE
5,Donovan Mitchell,28.0,G,6-3,215.0,"September 7, 1996",US,8,"Donovan
Mitchell","$46,394,100",46.3941,CLE
6,Evan Mobley,24.0,F-C,6-11,215.0,"June 18, 2001",US,4,"Evan
Mobley","$46,394,100",46.3941,CLE
7,Jarrett Allen,27.0,C-F,6-11,243.0,"April 21, 1998",US,8,"Jarrett
Allen","$20,000,000",20.0,CLE
8,Jaylon Tyson,22.0,G,6-6,215.0,"December 2, 2002",US,1,"Jaylon
Tyson","$3,492,480",3.49248,CLE
9,Lonzo Ball,27.0,G,6-6,190.0,"October 27, 1997",US,6,"Lonzo
Ball","$10,000,000",10.0,CLE
10,Max Strus,29.0,G,6-5,215.0,"March 28, 1996",US,6,"Max
Strus","$15,936,452",15.936452,CLE
0,Anthony Davis,32.0,F-C,6-10,253.0,"March 11, 1993",US,13,"Anthony
Davis","$54,126,450",54.12645,DAL
1,Brandon Williams,25.0,G,6-1,190.0,"November 22, 1999",US,3,"Brandon
Williams","$2,270,735",2.270735,DAL
2,Caleb Martin,29.0,F,6-5,205.0,"September 28, 1995",US,6,"Caleb
Martin","$9,594,044",9.594044,DAL
3,Daniel Gafford,26.0,C-F,6-10,234.0,"October 1, 1998",US,6,"Daniel
Gafford","$14,386,320",14.38632,DAL
4,Dereck Lively II,21.0,C,7-1,230.0,"February 12, 2004",US,2,"Dereck
Lively II","$5,253,360",5.25336,DAL
5,Dwight Powell,34.0,F-C,6-10,240.0,"July 20, 1991",CA,11,"Dwight
Powell","$4,000,000",4.0,DAL
6,Jaden Hardy,23.0,G,6-4,198.0,"July 5, 2002",US,3,"Jaden
Hardy","$6,000,000",6.0,DAL
7,Klay Thompson,35.0,G-F,6-5,215.0,"February 8, 1990",US,12,"Klay
Thompson","$16,666,667",16.666667,DAL
8,Max Christie,22.0,G,6-6,190.0,"February 10, 2003",US,3,"Max
Christie","$7,714,286",7.714286,DAL
9,Naji Marshall,27.0,F,6-7,220.0,"January 24, 1998",US,5,"Naji
Marshall","$9,000,000",9.0,DAL
10,P.J. Washington,27.0,F,6-7,230.0,"August 23, 1998",US,6,"P.J.
Washington","$14,152,174",14.152174,DAL
0,Aaron Gordon,29.0,F,6-8,235.0,"September 16, 1995",US,11,"Aaron
Gordon","$22,841,455",22.841455,DEN
1,Cameron Johnson,29.0,F,6-8,210.0,"March 3, 1996",US,6,"Cameron
Johnson","$20,543,478",20.543478,DEN
2,Christian Braun,24.0,G,6-6,218.0,"April 17, 2001",US,3,"Christian
Braun","$4,921,797",4.921797,DEN
3,DaRon Holmes,23.0,F,6-10,225.0,"August 15, 2002",US,R,"DaRon
Holmes","$3,218,760",3.21876,DEN
4,Hunter Tyson,25.0,F,6-8,215.0,"June 13, 2000",US,2,"Hunter
Tyson","$2,221,677",2.221677,DEN
5,Jalen Pickett,25.0,G,6-4,209.0,"October 22, 1999",US,2,"Jalen
Pickett","$2,221,677",2.221677,DEN
6,Jamal Murray,28.0,G,6-4,215.0,"February 23, 1997",CA,8,"Jamal
Murray","$46,394,100",46.3941,DEN
7,Jonas Valančiūnas,33.0,C,6-11,265.0,"May 6, 1992",LT,13,"Jonas
Valančiūnas","$10,395,000",10.395,DEN
8,Julian Strawther,23.0,F,6-7,205.0,"April 18, 2002",US,2,"Julian
Strawther","$2,674,200",2.6742,DEN
9,Nikola Jokić,30.0,C-F,6-11,284.0,"February 19, 1995",RS,10,"Nikola
Jokić","$55,224,526",55.224526,DEN
10,Peyton Watson,22.0,G-F,6-8,200.0,"September 11, 2002",US,3,"Peyton
Watson","$4,356,476",4.356476,DEN
11,Russell Westbrook,36.0,G,6-4,200.0,"November 12, 1988",US,17,"Russell
Westbrook","$3,468,960",3.46896,DEN
12,Zeke Nnaji,24.0,F,6-9,240.0,"January 9, 2001",US,5,"Zeke
Nnaji","$8,177,778",8.177778,DEN
0,Ausar Thompson,22.0,G,6-7,215.0,"January 30, 2003",US,2,"Ausar
Thompson","$8,775,000",8.775,DET
1,Bobi Klintman,22.0,F,6-9,225.0,"March 6, 2003",SE,1,"Bobi
Klintman","$1,955,377",1.955377,DET
2,Cade Cunningham,23.0,G,6-6,220.0,"September 25, 2001",US,4,"Cade
Cunningham","$38,661,750",38.66175,DET
3,Isaiah Stewart,24.0,F-C,6-8,250.0,"May 22, 2001",US,5,"Isaiah
Stewart","$15,000,000",15.0,DET
4,Jaden Ivey,23.0,G,6-4,195.0,"February 13, 2002",US,3,"Jaden
Ivey","$10,107,163",10.107163,DET
5,Jalen Duren,21.0,C,6-10,250.0,"November 18, 2003",US,3,"Jalen
Duren","$6,483,144",6.483144,DET
6,Marcus Sasser,24.0,G,6-2,195.0,"September 21, 2000",US,2,"Marcus
Sasser","$2,886,720",2.88672,DET
7,Ron Holland,20.0,F,6-8,206.0,"July 7, 2005",US,1,"Ron
Holland","$8,657,280",8.65728,DET
8,Tobias Harris,33.0,F,6-8,226.0,"July 15, 1992",US,14,"Tobias
Harris","$26,634,146",26.634146,DET
0,Brandin Podziemski,22.0,G,6-5,205.0,"February 25, 2003",US,2,"Brandin
Podziemski","$3,687,960",3.68796,GSW
1,Buddy Hield,32.0,G-F,6-4,220.0,"December 17, 1992",BS,9,"Buddy
Hield","$9,219,512",9.219512,GSW
2,Draymond Green,35.0,F,6-6,230.0,"March 4, 1990",US,13,"Draymond
Green","$25,892,857",25.892857,GSW
3,Gui Santos,23.0,F,6-8,209.0,"June 22, 2002",BR,2,"Gui
Santos","$2,221,677",2.221677,GSW
4,Jimmy Butler,35.0,F-G,6-7,230.0,"September 14, 1989",US,14,"Jimmy
Butler","$54,126,450",54.12645,GSW
5,Moses Moody,23.0,G,6-5,205.0,"May 31, 2002",US,4,"Moses
Moody","$11,574,075",11.574075,GSW
6,Quinten Post,25.0,F,7-0,238.0,"March 21, 2000",NL,1,"Quinten
Post","$1,955,377",1.955377,GSW
7,Stephen Curry,37.0,G,6-2,185.0,"March 14, 1988",US,16,"Stephen
Curry","$59,606,817",59.606817,GSW
8,Trayce Jackson-Davis,25.0,F,6-9,245.0,"February 22, 2000",US,2,"Trayce
Jackson-Davis","$2,221,677",2.221677,GSW
0,Alperen Şengün,23.0,C-F,6-11,235.0,"July 25, 2002",TR,4,"Alperen
Şengün","$33,944,954",33.944954,HOU
1,Amen Thompson,22.0,G,6-7,209.0,"January 30, 2003",US,2,"Amen
Thompson","$9,690,600",9.6906,HOU
2,Jabari Smith Jr.,22.0,F,6-11,220.0,"May 13, 2003",US,3,"Jabari
Smith Jr.","$12,350,392",12.350392,HOU
3,Kevin Durant,36.0,F-G,6-11,240.0,"September 29, 1988",US,17,"Kevin
Durant","$54,708,609",54.708609,HOU
4,Reed Sheppard,21.0,G,6-2,185.0,"June 24, 2004",US,1,"Reed
Sheppard","$10,603,560",10.60356,HOU
5,Tari Eason,24.0,F,6-8,216.0,"May 10, 2001",US,3,"Tari
Eason","$5,675,766",5.675766,HOU
0,Aaron Nesmith,25.0,G-F,6-5,215.0,"October 16, 1999",US,5,"Aaron
Nesmith","$11,000,000",11.0,IND
1,Andrew Nembhard,25.0,G,6-5,193.0,"January 16, 2000",CA,3,"Andrew
Nembhard","$18,102,000",18.102,IND
2,Ben Sheppard,24.0,G,6-6,190.0,"July 16, 2001",US,2,"Ben
Sheppard","$2,790,720",2.79072,IND
3,Bennedict Mathurin,23.0,G-F,6-6,210.0,"June 19, 2002",CA,3,"Bennedict
Mathurin","$9,187,573",9.187573,IND
4,James Wiseman,24.0,C,7-0,240.0,"March 31, 2001",US,4,"James
Wiseman","$2,667,947",2.667947,IND
5,Jarace Walker,21.0,F,6-8,240.0,"September 4, 2003",US,2,"Jarace
Walker","$6,665,520",6.66552,IND
6,Jay Huff,27.0,F-C,7-1,240.0,"August 25, 1998",US,4,"Jay
Huff","$2,349,578",2.349578,IND
7,Johnny Furphy,20.0,G-F,6-8,200.0,"December 8, 2004",AU,1,"Johnny
Furphy","$1,955,377",1.955377,IND
8,Obi Toppin,27.0,F,6-9,220.0,"March 4, 1998",US,5,"Obi
Toppin","$14,000,000",14.0,IND
9,Pascal Siakam,31.0,F-C,6-8,230.0,"April 2, 1994",CM,9,"Pascal
Siakam","$45,550,512",45.550512,IND
10,T.J. McConnell,33.0,G,6-1,190.0,"March 25, 1992",US,10,"T.J.
McConnell","$10,200,000",10.2,IND
11,Tony Bradley,27.0,F-C,6-10,248.0,"January 8, 1998",US,7,"Tony
Bradley","$2,940,876",2.940876,IND
12,Tyrese Haliburton,25.0,G,6-5,185.0,"February 29, 2000",US,5,"Tyrese
Haliburton","$45,550,512",45.550512,IND
0,Bogdan Bogdanović,33.0,G,6-5,220.0,"August 18, 1992",RS,8,"Bogdan
Bogdanović","$16,020,000",16.02,LAC
1,Cam Christie,20.0,G,6-5,190.0,"July 24, 2005",US,1,"Cam
Christie","$1,955,377",1.955377,LAC
2,Derrick Jones Jr.,28.0,F,6-5,210.0,"February 15, 1997",US,9,"Derrick
Jones Jr.","$10,000,000",10.0,LAC
3,Ivica Zubac,28.0,C,7-0,240.0,"March 18, 1997",BA,9,"Ivica
Zubac","$18,102,000",18.102,LAC
4,John Collins,27.0,F,6-9,235.0,"September 23, 1997",US,8,"John
Collins","$26,580,000",26.58,LAC
5,Kawhi Leonard,34.0,F,6-7,225.0,"June 29, 1991",US,13,"Kawhi
Leonard","$50,000,000",50.0,LAC
6,Kobe Brown,25.0,G-F,6-7,250.0,"January 1, 2000",US,2,"Kobe
Brown","$2,654,880",2.65488,LAC
7,Kris Dunn,31.0,G,6-3,205.0,"March 18, 1994",US,9,"Kris
Dunn","$5,426,400",5.4264,LAC
0,Austin Reaves,27.0,G,6-5,206.0,"May 29, 1998",US,4,"Austin
Reaves","$13,937,574",13.937574,LAL
1,Bronny James,20.0,G,6-2,210.0,"October 6, 2004",US,1,"Bronny
James","$1,955,377",1.955377,LAL
2,Dalton Knecht,24.0,G,6-6,215.0,"April 19, 2001",US,1,"Dalton
Knecht","$4,010,160",4.01016,LAL
3,Gabe Vincent,29.0,G,6-3,195.0,"June 14, 1996",US,6,"Gabe
Vincent","$11,500,000",11.5,LAL
4,Jarred Vanderbilt,26.0,F,6-8,214.0,"April 3, 1999",US,7,"Jarred
Vanderbilt","$11,571,429",11.571429,LAL
5,LeBron James,40.0,F-G,6-9,250.0,"December 30, 1984",US,22,"LeBron
James","$52,627,153",52.627153,LAL
6,Luka Dončić,26.0,G-F,6-6,230.0,"February 28, 1999",SI,7,"Luka
Dončić","$45,999,660",45.99966,LAL
7,Maxi Kleber,33.0,F,6-10,240.0,"January 29, 1992",DE,8,"Maxi
Kleber","$11,000,000",11.0,LAL
8,Rui Hachimura,27.0,F,6-8,230.0,"February 8, 1998",JP,6,"Rui
Hachimura","$18,259,259",18.259259,LAL
0,Brandon Clarke,28.0,F,6-8,215.0,"September 19, 1996",CA,6,"Brandon
Clarke","$12,500,000",12.5,MEM
1,GG Jackson II,20.0,F,6-9,215.0,"December 17, 2004",US,2,"GG
Jackson II","$2,221,677",2.221677,MEM
2,Ja Morant,26.0,G,6-2,174.0,"August 10, 1999",US,6,"Ja
Morant","$39,446,090",39.44609,MEM
3,Jaren Jackson Jr.,25.0,F,6-10,242.0,"September 15, 1999",US,7,"Jaren
Jackson Jr.","$35,000,000",35.0,MEM
4,Jaylen Wells,22.0,F,6-7,206.0,"August 26, 2003",US,1,"Jaylen
Wells","$1,955,377",1.955377,MEM
5,John Konchar,29.0,G,6-5,210.0,"March 22, 1996",US,6,"John
Konchar","$6,165,000",6.165,MEM
6,Kentavious Caldwell-Pope,32.0,G,6-5,204.0,"February 18, 1993",US,12,"Kentavious
Caldwell-Pope","$21,621,500",21.6215,MEM
7,Scotty Pippen Jr.,24.0,G,6-1,185.0,"November 10, 2000",US,3,"Scotty
Pippen Jr.","$2,270,735",2.270735,MEM
8,Vince Williams Jr.,25.0,F,6-4,205.0,"August 30, 2000",US,3,"Vince
Williams Jr.","$2,301,587",2.301587,MEM
9,Zach Edey,23.0,C,7-4,305.0,"May 14, 2002",CA,1,"Zach
Edey","$6,045,000",6.045,MEM
0,Andrew Wiggins,30.0,F-G,6-7,197.0,"February 23, 1995",CA,11,"Andrew
Wiggins","$28,223,215",28.223215,MIA
1,Bam Adebayo,28.0,C-F,6-9,255.0,"July 18, 1997",US,8,"Bam
Adebayo","$37,096,620",37.09662,MIA
